job_title,industry,job_description,skills_required,experience_required
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: React, Python, CI/CD, Docker, SQL, C++ with 9+ years experience.","React, Python, CI/CD, Docker, SQL, C++",9
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Financial Analysis, SQL, Taxation, Accounting with 3+ years experience.","Financial Analysis, SQL, Taxation, Accounting",3
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Content Marketing, Brand Management, Marketing Strategy, Google Analytics with 4+ years experience.","Content Marketing, Brand Management, Marketing Strategy, Google Analytics",4
ML Engineer,Data,"ML Engineer role in Data requiring skills: R, NLP, SQL, PyTorch, TensorFlow with 4+ years experience.","R, NLP, SQL, PyTorch, TensorFlow",4
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Project Management, SolidWorks, C++, AutoCAD with 2+ years experience.","Project Management, SolidWorks, C++, AutoCAD",2
Teacher,Education,"Teacher role in Education requiring skills: Curriculum Design, Research, Teaching, Educational Technology, Communication with 2+ years experience.","Curriculum Design, Research, Teaching, Educational Technology, Communication",2
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Java, Agile, Linux, CI/CD, React, Git with 5+ years experience.","Java, Agile, Linux, CI/CD, React, Git",5
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: Linux, CI/CD, Kubernetes, SQL, Node.js with 2+ years experience.","Linux, CI/CD, Kubernetes, SQL, Node.js",2
Professor,Education,"Professor role in Education requiring skills: Teaching, Communication, Research with 7+ years experience.","Teaching, Communication, Research",7
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Investment Modeling, SQL, Excel, Financial Analysis, Budgeting with 6+ years experience.","Investment Modeling, SQL, Excel, Financial Analysis, Budgeting",6
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Sales Strategy, Business Development, Lead Generation, Excel, Presentation Skills with 6+ years experience.","Sales Strategy, Business Development, Lead Generation, Excel, Presentation Skills",6
Business Analyst,Data,"Business Analyst role in Data requiring skills: Statistics, Python, PyTorch, Excel with 7+ years experience.","Statistics, Python, PyTorch, Excel",7
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Node.js, Kubernetes, Java, Linux with 4+ years experience.","Node.js, Kubernetes, Java, Linux",4
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: Forecasting, Budgeting, Taxation, Risk Management, Investment Modeling with 6+ years experience.","Forecasting, Budgeting, Taxation, Risk Management, Investment Modeling",6
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: Python, Microservices, Docker, Java, Agile, C++, Kubernetes with 5+ years experience.","Python, Microservices, Docker, Java, Agile, C++, Kubernetes",5
Account Executive,Sales,"Account Executive role in Sales requiring skills: CRM, Business Development, Presentation Skills, Excel, Negotiation with 5+ years experience.","CRM, Business Development, Presentation Skills, Excel, Negotiation",5
Accountant,Finance,"Accountant role in Finance requiring skills: Forecasting, Investment Modeling, Excel, Risk Management with 2+ years experience.","Forecasting, Investment Modeling, Excel, Risk Management",2
Professor,Education,"Professor role in Education requiring skills: Educational Technology, Teaching, Communication with 8+ years experience.","Educational Technology, Teaching, Communication",8
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Email Marketing, Excel, PPC, Content Marketing, Marketing Strategy with 2+ years experience.","Email Marketing, Excel, PPC, Content Marketing, Marketing Strategy",2
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Python, SolidWorks, MATLAB with 3+ years experience.","Python, SolidWorks, MATLAB",3
Mechanical Engineer,Engineering,"Mechanical Engineer role in Engineering requiring skills: SolidWorks, CAD, Project Management, C++, Python, AutoCAD, MATLAB with 4+ years experience.","SolidWorks, CAD, Project Management, C++, Python, AutoCAD, MATLAB",4
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: Kubernetes, Git, Microservices with 2+ years experience.","Kubernetes, Git, Microservices",2
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: AutoCAD, Project Management, Python, SolidWorks, MATLAB, CAD with 10+ years experience.","AutoCAD, Project Management, Python, SolidWorks, MATLAB, CAD",10
Professor,Education,"Professor role in Education requiring skills: Educational Technology, Communication, Python, Teaching with 9+ years experience.","Educational Technology, Communication, Python, Teaching",9
Project Manager,Operations,"Project Manager role in Operations requiring skills: Excel, Process Improvement, Agile with 8+ years experience.","Excel, Process Improvement, Agile",8
Account Executive,Sales,"Account Executive role in Sales requiring skills: Excel, Sales Strategy, CRM, Negotiation, Lead Generation with 3+ years experience.","Excel, Sales Strategy, CRM, Negotiation, Lead Generation",3
AI Researcher,Data,"AI Researcher role in Data requiring skills: Excel, TensorFlow, SQL, Python, Spark, Big Data, R with 6+ years experience.","Excel, TensorFlow, SQL, Python, Spark, Big Data, R",6
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Git, Java, Node.js with 8+ years experience.","Git, Java, Node.js",8
Teacher,Education,"Teacher role in Education requiring skills: Research, Educational Technology, Communication with 7+ years experience.","Research, Educational Technology, Communication",7
Clinical Researcher,Healthcare,"Clinical Researcher role in Healthcare requiring skills: Medical Terminology, Research, Patient Care with 3+ years experience.","Medical Terminology, Research, Patient Care",3
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Lead Generation, Excel, Negotiation, Presentation Skills, Business Development with 3+ years experience.","Lead Generation, Excel, Negotiation, Presentation Skills, Business Development",3
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Logistics, Excel, Lean Six Sigma with 7+ years experience.","Logistics, Excel, Lean Six Sigma",7
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: React, Java, Agile, Linux, Microservices, Git with 2+ years experience.","React, Java, Agile, Linux, Microservices, Git",2
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: Python, C++, CAD, Project Management with 7+ years experience.","Python, C++, CAD, Project Management",7
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Linux, SQL, C++, Microservices, Node.js with 5+ years experience.","Linux, SQL, C++, Microservices, Node.js",5
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Logistics, Project Management, Supply Chain, Excel, Lean Six Sigma, Agile with 9+ years experience.","Logistics, Project Management, Supply Chain, Excel, Lean Six Sigma, Agile",9
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: CI/CD, Docker, Microservices, Git with 5+ years experience.","CI/CD, Docker, Microservices, Git",5
Business Analyst,Data,"Business Analyst role in Data requiring skills: Big Data, Pandas, NLP with 5+ years experience.","Big Data, Pandas, NLP",5
Data Engineer,Data,"Data Engineer role in Data requiring skills: Spark, NLP, Statistics, Pandas, Tableau, Machine Learning, Python with 7+ years experience.","Spark, NLP, Statistics, Pandas, Tableau, Machine Learning, Python",7
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Business Development, Presentation Skills, Negotiation with 7+ years experience.","Business Development, Presentation Skills, Negotiation",7
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: SEO, Content Marketing, Excel, Google Analytics with 8+ years experience.","SEO, Content Marketing, Excel, Google Analytics",8
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: Cloud, Python, SQL, C++, CI/CD, Git with 2+ years experience.","Cloud, Python, SQL, C++, CI/CD, Git",2
Auditor,Finance,"Auditor role in Finance requiring skills: Accounting, Budgeting, Financial Analysis, Investment Modeling, Risk Management with 8+ years experience.","Accounting, Budgeting, Financial Analysis, Investment Modeling, Risk Management",8
Sales Analyst,Sales,"Sales Analyst role in Sales requiring skills: Negotiation, Sales Strategy, Presentation Skills, Excel, CRM, Lead Generation, Business Development with 7+ years experience.","Negotiation, Sales Strategy, Presentation Skills, Excel, CRM, Lead Generation, Business Development",7
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Supply Chain, Logistics, Project Management, Agile, Process Improvement, Lean Six Sigma with 10+ years experience.","Supply Chain, Logistics, Project Management, Agile, Process Improvement, Lean Six Sigma",10
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: Cloud, Kubernetes, SQL with 2+ years experience.","Cloud, Kubernetes, SQL",2
Instructional Designer,Education,"Instructional Designer role in Education requiring skills: Communication, Python, Teaching, Research with 6+ years experience.","Communication, Python, Teaching, Research",6
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: PPC, Email Marketing, Marketing Strategy, SEO, Social Media, Google Analytics, Content Marketing with 4+ years experience.","PPC, Email Marketing, Marketing Strategy, SEO, Social Media, Google Analytics, Content Marketing",4
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: Accounting, SQL, Financial Analysis, Taxation with 4+ years experience.","Accounting, SQL, Financial Analysis, Taxation",4
Mechanical Engineer,Engineering,"Mechanical Engineer role in Engineering requiring skills: C++, Python, CAD with 6+ years experience.","C++, Python, CAD",6
Industrial Engineer,Engineering,"Industrial Engineer role in Engineering requiring skills: Robotics, SolidWorks, MATLAB, PLC Programming, CAD, C++ with 2+ years experience.","Robotics, SolidWorks, MATLAB, PLC Programming, CAD, C++",2
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: Investment Modeling, Accounting, Financial Analysis, Excel with 7+ years experience.","Investment Modeling, Accounting, Financial Analysis, Excel",7
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Clinical Data Analysis, Research, Python, Patient Care with 7+ years experience.","Clinical Data Analysis, Research, Python, Patient Care",7
Data Analyst,Data,"Data Analyst role in Data requiring skills: Spark, TensorFlow, PyTorch, SQL, Python with 10+ years experience.","Spark, TensorFlow, PyTorch, SQL, Python",10
Teacher,Education,"Teacher role in Education requiring skills: Curriculum Design, Communication, Python with 10+ years experience.","Curriculum Design, Communication, Python",10
Education Consultant,Education,"Education Consultant role in Education requiring skills: Educational Technology, Python, Teaching, Curriculum Design, Research with 10+ years experience.","Educational Technology, Python, Teaching, Curriculum Design, Research",10
Content Strategist,Marketing,"Content Strategist role in Marketing requiring skills: Google Analytics, Social Media, Email Marketing, Excel, Content Marketing with 10+ years experience.","Google Analytics, Social Media, Email Marketing, Excel, Content Marketing",10
Teacher,Education,"Teacher role in Education requiring skills: Curriculum Design, Python, Communication, Educational Technology, Research, Teaching with 2+ years experience.","Curriculum Design, Python, Communication, Educational Technology, Research, Teaching",2
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Cloud, Git, React, Python with 5+ years experience.","Cloud, Git, React, Python",5
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Robotics, Project Management, CAD, AutoCAD, SolidWorks, Python, C++ with 6+ years experience.","Robotics, Project Management, CAD, AutoCAD, SolidWorks, Python, C++",6
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Biostatistics, Healthcare Analytics, Clinical Data Analysis, Python, Research, Patient Care with 6+ years experience.","Biostatistics, Healthcare Analytics, Clinical Data Analysis, Python, Research, Patient Care",6
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Linux, Node.js, C++, Cloud, Agile, Kubernetes, Git with 7+ years experience.","Linux, Node.js, C++, Cloud, Agile, Kubernetes, Git",7
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: PLC Programming, AutoCAD, Robotics, Project Management with 7+ years experience.","PLC Programming, AutoCAD, Robotics, Project Management",7
Industrial Engineer,Engineering,"Industrial Engineer role in Engineering requiring skills: Robotics, C++, Project Management, MATLAB with 8+ years experience.","Robotics, C++, Project Management, MATLAB",8
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Budgeting, Forecasting, Financial Analysis, Investment Modeling with 8+ years experience.","Budgeting, Forecasting, Financial Analysis, Investment Modeling",8
Biostatistician,Healthcare,"Biostatistician role in Healthcare requiring skills: Clinical Data Analysis, Medical Terminology, Healthcare Analytics, Patient Care, Biostatistics, Python, Research with 10+ years experience.","Clinical Data Analysis, Medical Terminology, Healthcare Analytics, Patient Care, Biostatistics, Python, Research",10
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Negotiation, Business Development, Excel, Presentation Skills with 7+ years experience.","Negotiation, Business Development, Excel, Presentation Skills",7
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Lean Six Sigma, Logistics, Process Improvement, Agile, Excel, Supply Chain, Project Management with 3+ years experience.","Lean Six Sigma, Logistics, Process Improvement, Agile, Excel, Supply Chain, Project Management",3
Content Strategist,Marketing,"Content Strategist role in Marketing requiring skills: Email Marketing, Social Media, Brand Management, PPC, SEO, Excel with 10+ years experience.","Email Marketing, Social Media, Brand Management, PPC, SEO, Excel",10
ML Engineer,Data,"ML Engineer role in Data requiring skills: PyTorch, Excel, NLP, Statistics, PowerBI with 8+ years experience.","PyTorch, Excel, NLP, Statistics, PowerBI",8
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: Excel, PPC, Google Analytics, Content Marketing, Brand Management, Email Marketing, Social Media with 7+ years experience.","Excel, PPC, Google Analytics, Content Marketing, Brand Management, Email Marketing, Social Media",7
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: Kubernetes, Linux, Java, C++ with 2+ years experience.","Kubernetes, Linux, Java, C++",2
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: SQL, Excel, Taxation, Financial Analysis, Accounting, Risk Management, Budgeting with 5+ years experience.","SQL, Excel, Taxation, Financial Analysis, Accounting, Risk Management, Budgeting",5
AI Researcher,Data,"AI Researcher role in Data requiring skills: Pandas, Big Data, Python, Machine Learning, Statistics with 7+ years experience.","Pandas, Big Data, Python, Machine Learning, Statistics",7
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: Brand Management, Google Analytics, Social Media, PPC, Excel with 3+ years experience.","Brand Management, Google Analytics, Social Media, PPC, Excel",3
Nurse,Healthcare,"Nurse role in Healthcare requiring skills: Python, Clinical Data Analysis, Patient Care with 10+ years experience.","Python, Clinical Data Analysis, Patient Care",10
DevOps Engineer,Technology,"DevOps Engineer role in Technology requiring skills: Agile, Kubernetes, Docker, Git, Linux, CI/CD with 7+ years experience.","Agile, Kubernetes, Docker, Git, Linux, CI/CD",7
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Project Management, Supply Chain, Process Improvement, Excel, Agile, Logistics, Lean Six Sigma with 10+ years experience.","Project Management, Supply Chain, Process Improvement, Excel, Agile, Logistics, Lean Six Sigma",10
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Excel, Risk Management, Accounting with 10+ years experience.","Excel, Risk Management, Accounting",10
Data Engineer,Data,"Data Engineer role in Data requiring skills: Machine Learning, PyTorch, Excel, Big Data, Deep Learning, Pandas, R with 5+ years experience.","Machine Learning, PyTorch, Excel, Big Data, Deep Learning, Pandas, R",5
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Brand Management, Social Media, Marketing Strategy, Google Analytics, SEO, Content Marketing with 3+ years experience.","Brand Management, Social Media, Marketing Strategy, Google Analytics, SEO, Content Marketing",3
Data Analyst,Data,"Data Analyst role in Data requiring skills: PyTorch, Excel, PowerBI with 9+ years experience.","PyTorch, Excel, PowerBI",9
Data Analyst,Data,"Data Analyst role in Data requiring skills: Statistics, NLP, SQL, Pandas, Spark, Tableau with 8+ years experience.","Statistics, NLP, SQL, Pandas, Spark, Tableau",8
Account Executive,Sales,"Account Executive role in Sales requiring skills: Sales Strategy, Presentation Skills, Negotiation, Business Development, CRM, Excel, Lead Generation with 3+ years experience.","Sales Strategy, Presentation Skills, Negotiation, Business Development, CRM, Excel, Lead Generation",3
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Lead Generation, Negotiation, Excel, Presentation Skills, Business Development with 3+ years experience.","Lead Generation, Negotiation, Excel, Presentation Skills, Business Development",3
Data Analyst,Data,"Data Analyst role in Data requiring skills: PyTorch, Machine Learning, Statistics, Big Data, Pandas, Python with 8+ years experience.","PyTorch, Machine Learning, Statistics, Big Data, Pandas, Python",8
Data Analyst,Data,"Data Analyst role in Data requiring skills: Big Data, PowerBI, Deep Learning, NLP with 2+ years experience.","Big Data, PowerBI, Deep Learning, NLP",2
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: SolidWorks, PLC Programming, MATLAB, AutoCAD, CAD with 7+ years experience.","SolidWorks, PLC Programming, MATLAB, AutoCAD, CAD",7
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: SQL, Kubernetes, CI/CD, C++, React, Java, Cloud with 3+ years experience.","SQL, Kubernetes, CI/CD, C++, React, Java, Cloud",3
Biostatistician,Healthcare,"Biostatistician role in Healthcare requiring skills: Clinical Data Analysis, Python, Research, Medical Terminology, Patient Care with 6+ years experience.","Clinical Data Analysis, Python, Research, Medical Terminology, Patient Care",6
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: SolidWorks, AutoCAD, CAD, C++, Robotics, Python, MATLAB with 7+ years experience.","SolidWorks, AutoCAD, CAD, C++, Robotics, Python, MATLAB",7
Mechanical Engineer,Engineering,"Mechanical Engineer role in Engineering requiring skills: PLC Programming, CAD, Project Management, MATLAB, Python with 9+ years experience.","PLC Programming, CAD, Project Management, MATLAB, Python",9
Account Executive,Sales,"Account Executive role in Sales requiring skills: Presentation Skills, Business Development, Lead Generation, Excel, Negotiation, CRM with 7+ years experience.","Presentation Skills, Business Development, Lead Generation, Excel, Negotiation, CRM",7
Teacher,Education,"Teacher role in Education requiring skills: Curriculum Design, Teaching, Python with 4+ years experience.","Curriculum Design, Teaching, Python",4
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Supply Chain, Process Improvement, Logistics, Agile, Excel, Lean Six Sigma, Project Management with 6+ years experience.","Supply Chain, Process Improvement, Logistics, Agile, Excel, Lean Six Sigma, Project Management",6
Professor,Education,"Professor role in Education requiring skills: Research, Python, Communication with 3+ years experience.","Research, Python, Communication",3
Data Scientist,Data,"Data Scientist role in Data requiring skills: R, Deep Learning, Pandas with 8+ years experience.","R, Deep Learning, Pandas",8
Lab Technician,Healthcare,"Lab Technician role in Healthcare requiring skills: Healthcare Analytics, Python, Patient Care, Clinical Data Analysis with 9+ years experience.","Healthcare Analytics, Python, Patient Care, Clinical Data Analysis",9
Business Analyst,Data,"Business Analyst role in Data requiring skills: Excel, R, PowerBI, PyTorch, TensorFlow with 3+ years experience.","Excel, R, PowerBI, PyTorch, TensorFlow",3
Biostatistician,Healthcare,"Biostatistician role in Healthcare requiring skills: Healthcare Analytics, Biostatistics, Clinical Data Analysis, Medical Terminology, Python with 2+ years experience.","Healthcare Analytics, Biostatistics, Clinical Data Analysis, Medical Terminology, Python",2
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Brand Management, Marketing Strategy, Google Analytics, SEO, Social Media, Email Marketing, Content Marketing with 3+ years experience.","Brand Management, Marketing Strategy, Google Analytics, SEO, Social Media, Email Marketing, Content Marketing",3
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Budgeting, Forecasting, Financial Analysis, Excel, Taxation, Accounting with 2+ years experience.","Budgeting, Forecasting, Financial Analysis, Excel, Taxation, Accounting",2
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Clinical Data Analysis, Research, Medical Terminology with 8+ years experience.","Clinical Data Analysis, Research, Medical Terminology",8
Teacher,Education,"Teacher role in Education requiring skills: Communication, Educational Technology, Curriculum Design, Python with 6+ years experience.","Communication, Educational Technology, Curriculum Design, Python",6
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Sales Strategy, Negotiation, Business Development, CRM, Excel with 9+ years experience.","Sales Strategy, Negotiation, Business Development, CRM, Excel",9
Business Analyst,Data,"Business Analyst role in Data requiring skills: Big Data, Deep Learning, Python, TensorFlow, NLP with 9+ years experience.","Big Data, Deep Learning, Python, TensorFlow, NLP",9
Project Manager,Operations,"Project Manager role in Operations requiring skills: Process Improvement, Project Management, Logistics, Excel, Lean Six Sigma, Supply Chain, Agile with 3+ years experience.","Process Improvement, Project Management, Logistics, Excel, Lean Six Sigma, Supply Chain, Agile",3
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Google Analytics, Marketing Strategy, Content Marketing with 4+ years experience.","Google Analytics, Marketing Strategy, Content Marketing",4
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: Marketing Strategy, Google Analytics, SEO, PPC, Excel, Social Media with 9+ years experience.","Marketing Strategy, Google Analytics, SEO, PPC, Excel, Social Media",9
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Excel, Project Management, Supply Chain, Agile, Logistics, Process Improvement, Lean Six Sigma with 6+ years experience.","Excel, Project Management, Supply Chain, Agile, Logistics, Process Improvement, Lean Six Sigma",6
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: Kubernetes, Agile, Linux, Node.js, C++, Git with 2+ years experience.","Kubernetes, Agile, Linux, Node.js, C++, Git",2
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Linux, React, Python, Node.js, Agile, Cloud, Microservices with 4+ years experience.","Linux, React, Python, Node.js, Agile, Cloud, Microservices",4
Civil Engineer,Engineering,"Civil Engineer role in Engineering requiring skills: Python, MATLAB, CAD, Project Management, PLC Programming, SolidWorks, Robotics with 2+ years experience.","Python, MATLAB, CAD, Project Management, PLC Programming, SolidWorks, Robotics",2
Instructional Designer,Education,"Instructional Designer role in Education requiring skills: Communication, Teaching, Educational Technology, Curriculum Design, Python with 9+ years experience.","Communication, Teaching, Educational Technology, Curriculum Design, Python",9
Civil Engineer,Engineering,"Civil Engineer role in Engineering requiring skills: C++, Python, PLC Programming, SolidWorks, AutoCAD, Robotics with 9+ years experience.","C++, Python, PLC Programming, SolidWorks, AutoCAD, Robotics",9
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: Microservices, Kubernetes, Agile with 5+ years experience.","Microservices, Kubernetes, Agile",5
Brand Manager,Marketing,"Brand Manager role in Marketing requiring skills: PPC, Content Marketing, Brand Management, Social Media, Excel, Email Marketing, Google Analytics with 10+ years experience.","PPC, Content Marketing, Brand Management, Social Media, Excel, Email Marketing, Google Analytics",10
Accountant,Finance,"Accountant role in Finance requiring skills: Accounting, Budgeting, Financial Analysis, Investment Modeling with 8+ years experience.","Accounting, Budgeting, Financial Analysis, Investment Modeling",8
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: Node.js, CI/CD, SQL, C++, Cloud, Java with 6+ years experience.","Node.js, CI/CD, SQL, C++, Cloud, Java",6
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Java, Microservices, Cloud, React with 2+ years experience.","Java, Microservices, Cloud, React",2
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: Social Media, Marketing Strategy, Email Marketing, Content Marketing, SEO with 4+ years experience.","Social Media, Marketing Strategy, Email Marketing, Content Marketing, SEO",4
Project Manager,Operations,"Project Manager role in Operations requiring skills: Excel, Supply Chain, Lean Six Sigma, Agile, Process Improvement, Logistics with 5+ years experience.","Excel, Supply Chain, Lean Six Sigma, Agile, Process Improvement, Logistics",5
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: C++, Robotics, PLC Programming, MATLAB, Python, AutoCAD with 3+ years experience.","C++, Robotics, PLC Programming, MATLAB, Python, AutoCAD",3
Education Consultant,Education,"Education Consultant role in Education requiring skills: Teaching, Communication, Educational Technology, Python with 5+ years experience.","Teaching, Communication, Educational Technology, Python",5
Project Manager,Operations,"Project Manager role in Operations requiring skills: Lean Six Sigma, Process Improvement, Agile, Excel with 8+ years experience.","Lean Six Sigma, Process Improvement, Agile, Excel",8
Brand Manager,Marketing,"Brand Manager role in Marketing requiring skills: Google Analytics, Excel, SEO, PPC, Content Marketing, Email Marketing, Marketing Strategy with 7+ years experience.","Google Analytics, Excel, SEO, PPC, Content Marketing, Email Marketing, Marketing Strategy",7
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Supply Chain, Project Management, Lean Six Sigma, Logistics, Process Improvement with 10+ years experience.","Supply Chain, Project Management, Lean Six Sigma, Logistics, Process Improvement",10
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Python, CAD, SolidWorks, Robotics, C++ with 10+ years experience.","Python, CAD, SolidWorks, Robotics, C++",10
Mechanical Engineer,Engineering,"Mechanical Engineer role in Engineering requiring skills: AutoCAD, Python, PLC Programming, C++, CAD, MATLAB with 7+ years experience.","AutoCAD, Python, PLC Programming, C++, CAD, MATLAB",7
Teacher,Education,"Teacher role in Education requiring skills: Python, Research, Communication with 2+ years experience.","Python, Research, Communication",2
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: SQL, CI/CD, Microservices, Cloud with 7+ years experience.","SQL, CI/CD, Microservices, Cloud",7
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: C++, CI/CD, Linux, React, Microservices, Agile, Git with 7+ years experience.","C++, CI/CD, Linux, React, Microservices, Agile, Git",7
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Excel, Accounting, Investment Modeling with 2+ years experience.","Excel, Accounting, Investment Modeling",2
