job_title,industry,job_description,skills_required,experience_required,job_description_clean,skills_required_list
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: Linux, CI/CD, Kubernetes, SQL, Node.js with 2+ years experience.","Linux, CI/CD, Kubernetes, SQL, Node.js",2,"cloud engineer role in technology requiring skills linux, cicd, kubernetes, sql, nodejs with 2 years experience","['Linux', 'CI/CD', 'Kubernetes', 'SQL', 'Node.js']"
Professor,Education,"Professor role in Education requiring skills: Teaching, Communication, Research with 7+ years experience.","Teaching, Communication, Research",7,"professor role in education requiring skills teaching, communication, research with 7 years experience","['Teaching', 'Communication', 'Research']"
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Investment Modeling, SQL, Excel, Financial Analysis, Budgeting with 6+ years experience.","Investment Modeling, SQL, Excel, Financial Analysis, Budgeting",6,"investment analyst role in finance requiring skills investment modeling, sql, excel, financial analysis, budgeting with 6 years experience","['Investment Modeling', 'SQL', 'Excel', 'Financial Analysis', 'Budgeting']"
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Sales Strategy, Business Development, Lead Generation, Excel, Presentation Skills with 6+ years experience.","Sales Strategy, Business Development, Lead Generation, Excel, Presentation Skills",6,"business development manager role in sales requiring skills sales strategy, business development, lead generation, excel, presentation skills with 6 years experience","['Sales Strategy', 'Business Development', 'Lead Generation', 'Excel', 'Presentation Skills']"
Business Analyst,Data,"Business Analyst role in Data requiring skills: Statistics, Python, PyTorch, Excel with 7+ years experience.","Statistics, Python, PyTorch, Excel",7,"business analyst role in data requiring skills statistics, python, pytorch, excel with 7 years experience","['Statistics', 'Python', 'PyTorch', 'Excel']"
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Node.js, Kubernetes, Java, Linux with 4+ years experience.","Node.js, Kubernetes, Java, Linux",4,"software engineer role in technology requiring skills nodejs, kubernetes, java, linux with 4 years experience","['Node.js', 'Kubernetes', 'Java', 'Linux']"
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: Forecasting, Budgeting, Taxation, Risk Management, Investment Modeling with 6+ years experience.","Forecasting, Budgeting, Taxation, Risk Management, Investment Modeling",6,"financial analyst role in finance requiring skills forecasting, budgeting, taxation, risk management, investment modeling with 6 years experience","['Forecasting', 'Budgeting', 'Taxation', 'Risk Management', 'Investment Modeling']"
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: Python, Microservices, Docker, Java, Agile, C++, Kubernetes with 5+ years experience.","Python, Microservices, Docker, Java, Agile, C++, Kubernetes",5,"full stack developer role in technology requiring skills python, microservices, docker, java, agile, c, kubernetes with 5 years experience","['Python', 'Microservices', 'Docker', 'Java', 'Agile', 'C++', 'Kubernetes']"
Account Executive,Sales,"Account Executive role in Sales requiring skills: CRM, Business Development, Presentation Skills, Excel, Negotiation with 5+ years experience.","CRM, Business Development, Presentation Skills, Excel, Negotiation",5,"account executive role in sales requiring skills crm, business development, presentation skills, excel, negotiation with 5 years experience","['CRM', 'Business Development', 'Presentation Skills', 'Excel', 'Negotiation']"
Accountant,Finance,"Accountant role in Finance requiring skills: Forecasting, Investment Modeling, Excel, Risk Management with 2+ years experience.","Forecasting, Investment Modeling, Excel, Risk Management",2,"accountant role in finance requiring skills forecasting, investment modeling, excel, risk management with 2 years experience","['Forecasting', 'Investment Modeling', 'Excel', 'Risk Management']"
Professor,Education,"Professor role in Education requiring skills: Educational Technology, Teaching, Communication with 8+ years experience.","Educational Technology, Teaching, Communication",8,"professor role in education requiring skills educational technology, teaching, communication with 8 years experience","['Educational Technology', 'Teaching', 'Communication']"
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Email Marketing, Excel, PPC, Content Marketing, Marketing Strategy with 2+ years experience.","Email Marketing, Excel, PPC, Content Marketing, Marketing Strategy",2,"digital marketing analyst role in marketing requiring skills email marketing, excel, ppc, content marketing, marketing strategy with 2 years experience","['Email Marketing', 'Excel', 'PPC', 'Content Marketing', 'Marketing Strategy']"
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Python, SolidWorks, MATLAB with 3+ years experience.","Python, SolidWorks, MATLAB",3,"robotics engineer role in engineering requiring skills python, solidworks, matlab with 3 years experience","['Python', 'SolidWorks', 'MATLAB']"
Mechanical Engineer,Engineering,"Mechanical Engineer role in Engineering requiring skills: SolidWorks, CAD, Project Management, C++, Python, AutoCAD, MATLAB with 4+ years experience.","SolidWorks, CAD, Project Management, C++, Python, AutoCAD, MATLAB",4,"mechanical engineer role in engineering requiring skills solidworks, cad, project management, c, python, autocad, matlab with 4 years experience","['SolidWorks', 'CAD', 'Project Management', 'C++', 'Python', 'AutoCAD', 'MATLAB']"
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: Kubernetes, Git, Microservices with 2+ years experience.","Kubernetes, Git, Microservices",2,"full stack developer role in technology requiring skills kubernetes, git, microservices with 2 years experience","['Kubernetes', 'Git', 'Microservices']"
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: AutoCAD, Project Management, Python, SolidWorks, MATLAB, CAD with 10+ years experience.","AutoCAD, Project Management, Python, SolidWorks, MATLAB, CAD",10,"robotics engineer role in engineering requiring skills autocad, project management, python, solidworks, matlab, cad with 10 years experience","['AutoCAD', 'Project Management', 'Python', 'SolidWorks', 'MATLAB', 'CAD']"
Professor,Education,"Professor role in Education requiring skills: Educational Technology, Communication, Python, Teaching with 9+ years experience.","Educational Technology, Communication, Python, Teaching",9,"professor role in education requiring skills educational technology, communication, python, teaching with 9 years experience","['Educational Technology', 'Communication', 'Python', 'Teaching']"
Project Manager,Operations,"Project Manager role in Operations requiring skills: Excel, Process Improvement, Agile with 8+ years experience.","Excel, Process Improvement, Agile",8,"project manager role in operations requiring skills excel, process improvement, agile with 8 years experience","['Excel', 'Process Improvement', 'Agile']"
Account Executive,Sales,"Account Executive role in Sales requiring skills: Excel, Sales Strategy, CRM, Negotiation, Lead Generation with 3+ years experience.","Excel, Sales Strategy, CRM, Negotiation, Lead Generation",3,"account executive role in sales requiring skills excel, sales strategy, crm, negotiation, lead generation with 3 years experience","['Excel', 'Sales Strategy', 'CRM', 'Negotiation', 'Lead Generation']"
AI Researcher,Data,"AI Researcher role in Data requiring skills: Excel, TensorFlow, SQL, Python, Spark, Big Data, R with 6+ years experience.","Excel, TensorFlow, SQL, Python, Spark, Big Data, R",6,"ai researcher role in data requiring skills excel, tensorflow, sql, python, spark, big data, r with 6 years experience","['Excel', 'TensorFlow', 'SQL', 'Python', 'Spark', 'Big Data', 'R']"
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Git, Java, Node.js with 8+ years experience.","Git, Java, Node.js",8,"backend developer role in technology requiring skills git, java, nodejs with 8 years experience","['Git', 'Java', 'Node.js']"
Teacher,Education,"Teacher role in Education requiring skills: Research, Educational Technology, Communication with 7+ years experience.","Research, Educational Technology, Communication",7,"teacher role in education requiring skills research, educational technology, communication with 7 years experience","['Research', 'Educational Technology', 'Communication']"
Clinical Researcher,Healthcare,"Clinical Researcher role in Healthcare requiring skills: Medical Terminology, Research, Patient Care with 3+ years experience.","Medical Terminology, Research, Patient Care",3,"clinical researcher role in healthcare requiring skills medical terminology, research, patient care with 3 years experience","['Medical Terminology', 'Research', 'Patient Care']"
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Lead Generation, Excel, Negotiation, Presentation Skills, Business Development with 3+ years experience.","Lead Generation, Excel, Negotiation, Presentation Skills, Business Development",3,"business development manager role in sales requiring skills lead generation, excel, negotiation, presentation skills, business development with 3 years experience","['Lead Generation', 'Excel', 'Negotiation', 'Presentation Skills', 'Business Development']"
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Logistics, Excel, Lean Six Sigma with 7+ years experience.","Logistics, Excel, Lean Six Sigma",7,"logistics coordinator role in operations requiring skills logistics, excel, lean six sigma with 7 years experience","['Logistics', 'Excel', 'Lean Six Sigma']"
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: React, Java, Agile, Linux, Microservices, Git with 2+ years experience.","React, Java, Agile, Linux, Microservices, Git",2,"frontend developer role in technology requiring skills react, java, agile, linux, microservices, git with 2 years experience","['React', 'Java', 'Agile', 'Linux', 'Microservices', 'Git']"
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: Python, C++, CAD, Project Management with 7+ years experience.","Python, C++, CAD, Project Management",7,"automation engineer role in engineering requiring skills python, c, cad, project management with 7 years experience","['Python', 'C++', 'CAD', 'Project Management']"
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Linux, SQL, C++, Microservices, Node.js with 5+ years experience.","Linux, SQL, C++, Microservices, Node.js",5,"backend developer role in technology requiring skills linux, sql, c, microservices, nodejs with 5 years experience","['Linux', 'SQL', 'C++', 'Microservices', 'Node.js']"
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Logistics, Project Management, Supply Chain, Excel, Lean Six Sigma, Agile with 9+ years experience.","Logistics, Project Management, Supply Chain, Excel, Lean Six Sigma, Agile",9,"logistics coordinator role in operations requiring skills logistics, project management, supply chain, excel, lean six sigma, agile with 9 years experience","['Logistics', 'Project Management', 'Supply Chain', 'Excel', 'Lean Six Sigma', 'Agile']"
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: CI/CD, Docker, Microservices, Git with 5+ years experience.","CI/CD, Docker, Microservices, Git",5,"cloud engineer role in technology requiring skills cicd, docker, microservices, git with 5 years experience","['CI/CD', 'Docker', 'Microservices', 'Git']"
Business Analyst,Data,"Business Analyst role in Data requiring skills: Big Data, Pandas, NLP with 5+ years experience.","Big Data, Pandas, NLP",5,"business analyst role in data requiring skills big data, pandas, nlp with 5 years experience","['Big Data', 'Pandas', 'NLP']"
Data Engineer,Data,"Data Engineer role in Data requiring skills: Spark, NLP, Statistics, Pandas, Tableau, Machine Learning, Python with 7+ years experience.","Spark, NLP, Statistics, Pandas, Tableau, Machine Learning, Python",7,"data engineer role in data requiring skills spark, nlp, statistics, pandas, tableau, machine learning, python with 7 years experience","['Spark', 'NLP', 'Statistics', 'Pandas', 'Tableau', 'Machine Learning', 'Python']"
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Business Development, Presentation Skills, Negotiation with 7+ years experience.","Business Development, Presentation Skills, Negotiation",7,"sales manager role in sales requiring skills business development, presentation skills, negotiation with 7 years experience","['Business Development', 'Presentation Skills', 'Negotiation']"
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: SEO, Content Marketing, Excel, Google Analytics with 8+ years experience.","SEO, Content Marketing, Excel, Google Analytics",8,"seo specialist role in marketing requiring skills seo, content marketing, excel, google analytics with 8 years experience","['SEO', 'Content Marketing', 'Excel', 'Google Analytics']"
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: Cloud, Python, SQL, C++, CI/CD, Git with 2+ years experience.","Cloud, Python, SQL, C++, CI/CD, Git",2,"qa engineer role in technology requiring skills cloud, python, sql, c, cicd, git with 2 years experience","['Cloud', 'Python', 'SQL', 'C++', 'CI/CD', 'Git']"
Auditor,Finance,"Auditor role in Finance requiring skills: Accounting, Budgeting, Financial Analysis, Investment Modeling, Risk Management with 8+ years experience.","Accounting, Budgeting, Financial Analysis, Investment Modeling, Risk Management",8,"auditor role in finance requiring skills accounting, budgeting, financial analysis, investment modeling, risk management with 8 years experience","['Accounting', 'Budgeting', 'Financial Analysis', 'Investment Modeling', 'Risk Management']"
Sales Analyst,Sales,"Sales Analyst role in Sales requiring skills: Negotiation, Sales Strategy, Presentation Skills, Excel, CRM, Lead Generation, Business Development with 7+ years experience.","Negotiation, Sales Strategy, Presentation Skills, Excel, CRM, Lead Generation, Business Development",7,"sales analyst role in sales requiring skills negotiation, sales strategy, presentation skills, excel, crm, lead generation, business development with 7 years experience","['Negotiation', 'Sales Strategy', 'Presentation Skills', 'Excel', 'CRM', 'Lead Generation', 'Business Development']"
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Supply Chain, Logistics, Project Management, Agile, Process Improvement, Lean Six Sigma with 10+ years experience.","Supply Chain, Logistics, Project Management, Agile, Process Improvement, Lean Six Sigma",10,"supply chain analyst role in operations requiring skills supply chain, logistics, project management, agile, process improvement, lean six sigma with 10 years experience","['Supply Chain', 'Logistics', 'Project Management', 'Agile', 'Process Improvement', 'Lean Six Sigma']"
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: Cloud, Kubernetes, SQL with 2+ years experience.","Cloud, Kubernetes, SQL",2,"qa engineer role in technology requiring skills cloud, kubernetes, sql with 2 years experience","['Cloud', 'Kubernetes', 'SQL']"
Instructional Designer,Education,"Instructional Designer role in Education requiring skills: Communication, Python, Teaching, Research with 6+ years experience.","Communication, Python, Teaching, Research",6,"instructional designer role in education requiring skills communication, python, teaching, research with 6 years experience","['Communication', 'Python', 'Teaching', 'Research']"
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: PPC, Email Marketing, Marketing Strategy, SEO, Social Media, Google Analytics, Content Marketing with 4+ years experience.","PPC, Email Marketing, Marketing Strategy, SEO, Social Media, Google Analytics, Content Marketing",4,"seo specialist role in marketing requiring skills ppc, email marketing, marketing strategy, seo, social media, google analytics, content marketing with 4 years experience","['PPC', 'Email Marketing', 'Marketing Strategy', 'SEO', 'Social Media', 'Google Analytics', 'Content Marketing']"
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: Accounting, SQL, Financial Analysis, Taxation with 4+ years experience.","Accounting, SQL, Financial Analysis, Taxation",4,"financial analyst role in finance requiring skills accounting, sql, financial analysis, taxation with 4 years experience","['Accounting', 'SQL', 'Financial Analysis', 'Taxation']"
Mechanical Engineer,Engineering,"Mechanical Engineer role in Engineering requiring skills: C++, Python, CAD with 6+ years experience.","C++, Python, CAD",6,"mechanical engineer role in engineering requiring skills c, python, cad with 6 years experience","['C++', 'Python', 'CAD']"
Industrial Engineer,Engineering,"Industrial Engineer role in Engineering requiring skills: Robotics, SolidWorks, MATLAB, PLC Programming, CAD, C++ with 2+ years experience.","Robotics, SolidWorks, MATLAB, PLC Programming, CAD, C++",2,"industrial engineer role in engineering requiring skills robotics, solidworks, matlab, plc programming, cad, c with 2 years experience","['Robotics', 'SolidWorks', 'MATLAB', 'PLC Programming', 'CAD', 'C++']"
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: Investment Modeling, Accounting, Financial Analysis, Excel with 7+ years experience.","Investment Modeling, Accounting, Financial Analysis, Excel",7,"financial analyst role in finance requiring skills investment modeling, accounting, financial analysis, excel with 7 years experience","['Investment Modeling', 'Accounting', 'Financial Analysis', 'Excel']"
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Clinical Data Analysis, Research, Python, Patient Care with 7+ years experience.","Clinical Data Analysis, Research, Python, Patient Care",7,"medical data analyst role in healthcare requiring skills clinical data analysis, research, python, patient care with 7 years experience","['Clinical Data Analysis', 'Research', 'Python', 'Patient Care']"
Data Analyst,Data,"Data Analyst role in Data requiring skills: Spark, TensorFlow, PyTorch, SQL, Python with 10+ years experience.","Spark, TensorFlow, PyTorch, SQL, Python",10,"data analyst role in data requiring skills spark, tensorflow, pytorch, sql, python with 10 years experience","['Spark', 'TensorFlow', 'PyTorch', 'SQL', 'Python']"
Teacher,Education,"Teacher role in Education requiring skills: Curriculum Design, Communication, Python with 10+ years experience.","Curriculum Design, Communication, Python",10,"teacher role in education requiring skills curriculum design, communication, python with 10 years experience","['Curriculum Design', 'Communication', 'Python']"
Education Consultant,Education,"Education Consultant role in Education requiring skills: Educational Technology, Python, Teaching, Curriculum Design, Research with 10+ years experience.","Educational Technology, Python, Teaching, Curriculum Design, Research",10,"education consultant role in education requiring skills educational technology, python, teaching, curriculum design, research with 10 years experience","['Educational Technology', 'Python', 'Teaching', 'Curriculum Design', 'Research']"
Content Strategist,Marketing,"Content Strategist role in Marketing requiring skills: Google Analytics, Social Media, Email Marketing, Excel, Content Marketing with 10+ years experience.","Google Analytics, Social Media, Email Marketing, Excel, Content Marketing",10,"content strategist role in marketing requiring skills google analytics, social media, email marketing, excel, content marketing with 10 years experience","['Google Analytics', 'Social Media', 'Email Marketing', 'Excel', 'Content Marketing']"
Teacher,Education,"Teacher role in Education requiring skills: Curriculum Design, Python, Communication, Educational Technology, Research, Teaching with 2+ years experience.","Curriculum Design, Python, Communication, Educational Technology, Research, Teaching",2,"teacher role in education requiring skills curriculum design, python, communication, educational technology, research, teaching with 2 years experience","['Curriculum Design', 'Python', 'Communication', 'Educational Technology', 'Research', 'Teaching']"
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Cloud, Git, React, Python with 5+ years experience.","Cloud, Git, React, Python",5,"software engineer role in technology requiring skills cloud, git, react, python with 5 years experience","['Cloud', 'Git', 'React', 'Python']"
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Robotics, Project Management, CAD, AutoCAD, SolidWorks, Python, C++ with 6+ years experience.","Robotics, Project Management, CAD, AutoCAD, SolidWorks, Python, C++",6,"robotics engineer role in engineering requiring skills robotics, project management, cad, autocad, solidworks, python, c with 6 years experience","['Robotics', 'Project Management', 'CAD', 'AutoCAD', 'SolidWorks', 'Python', 'C++']"
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Biostatistics, Healthcare Analytics, Clinical Data Analysis, Python, Research, Patient Care with 6+ years experience.","Biostatistics, Healthcare Analytics, Clinical Data Analysis, Python, Research, Patient Care",6,"medical data analyst role in healthcare requiring skills biostatistics, healthcare analytics, clinical data analysis, python, research, patient care with 6 years experience","['Biostatistics', 'Healthcare Analytics', 'Clinical Data Analysis', 'Python', 'Research', 'Patient Care']"
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Linux, Node.js, C++, Cloud, Agile, Kubernetes, Git with 7+ years experience.","Linux, Node.js, C++, Cloud, Agile, Kubernetes, Git",7,"backend developer role in technology requiring skills linux, nodejs, c, cloud, agile, kubernetes, git with 7 years experience","['Linux', 'Node.js', 'C++', 'Cloud', 'Agile', 'Kubernetes', 'Git']"
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: PLC Programming, AutoCAD, Robotics, Project Management with 7+ years experience.","PLC Programming, AutoCAD, Robotics, Project Management",7,"robotics engineer role in engineering requiring skills plc programming, autocad, robotics, project management with 7 years experience","['PLC Programming', 'AutoCAD', 'Robotics', 'Project Management']"
Industrial Engineer,Engineering,"Industrial Engineer role in Engineering requiring skills: Robotics, C++, Project Management, MATLAB with 8+ years experience.","Robotics, C++, Project Management, MATLAB",8,"industrial engineer role in engineering requiring skills robotics, c, project management, matlab with 8 years experience","['Robotics', 'C++', 'Project Management', 'MATLAB']"
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Budgeting, Forecasting, Financial Analysis, Investment Modeling with 8+ years experience.","Budgeting, Forecasting, Financial Analysis, Investment Modeling",8,"risk analyst role in finance requiring skills budgeting, forecasting, financial analysis, investment modeling with 8 years experience","['Budgeting', 'Forecasting', 'Financial Analysis', 'Investment Modeling']"
Biostatistician,Healthcare,"Biostatistician role in Healthcare requiring skills: Clinical Data Analysis, Medical Terminology, Healthcare Analytics, Patient Care, Biostatistics, Python, Research with 10+ years experience.","Clinical Data Analysis, Medical Terminology, Healthcare Analytics, Patient Care, Biostatistics, Python, Research",10,"biostatistician role in healthcare requiring skills clinical data analysis, medical terminology, healthcare analytics, patient care, biostatistics, python, research with 10 years experience","['Clinical Data Analysis', 'Medical Terminology', 'Healthcare Analytics', 'Patient Care', 'Biostatistics', 'Python', 'Research']"
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Negotiation, Business Development, Excel, Presentation Skills with 7+ years experience.","Negotiation, Business Development, Excel, Presentation Skills",7,"sales manager role in sales requiring skills negotiation, business development, excel, presentation skills with 7 years experience","['Negotiation', 'Business Development', 'Excel', 'Presentation Skills']"
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Lean Six Sigma, Logistics, Process Improvement, Agile, Excel, Supply Chain, Project Management with 3+ years experience.","Lean Six Sigma, Logistics, Process Improvement, Agile, Excel, Supply Chain, Project Management",3,"supply chain analyst role in operations requiring skills lean six sigma, logistics, process improvement, agile, excel, supply chain, project management with 3 years experience","['Lean Six Sigma', 'Logistics', 'Process Improvement', 'Agile', 'Excel', 'Supply Chain', 'Project Management']"
Content Strategist,Marketing,"Content Strategist role in Marketing requiring skills: Email Marketing, Social Media, Brand Management, PPC, SEO, Excel with 10+ years experience.","Email Marketing, Social Media, Brand Management, PPC, SEO, Excel",10,"content strategist role in marketing requiring skills email marketing, social media, brand management, ppc, seo, excel with 10 years experience","['Email Marketing', 'Social Media', 'Brand Management', 'PPC', 'SEO', 'Excel']"
